dammit|negative
tampering|negative
jazzed|positive|
#attfail|negative|negative|
#fail|negative|negative|
#fuck|negative|negative|
apocalypse|negative|negative|
apologetic|negative|negative|
Apologies|negative|negative|
Apology|negative|negative|
appall|negative|negative|
appallingly|negative|negative|
apparent|neutral|neutral|
apparently|neutral|neutral|
appear|neutral|neutral|
appetizing|positive|positive|
appologetic|negative|negative|
appopriate|positive|positive|
appreciated|positive|positive|
appreciates|positive|positive|
appreciative|positive|positive|
appreciatively|positive|positive|
appreciativeness|positive|positive|
apprehension|negative|negative|
apprehensively|negative|negative|
approachable|positive|positive|
approval|positive|positive|
ardently|positive|positive|
ardor|positive|positive|
arduously|negative|negative|
argumentative|negative|negative|
arousal|positive|positive|
arousing|positive|positive|
arrogance|negative|negative|
arrogant|negative|negative|
arrogantly|negative|negative|
artful|positive|positive|
artistic|positive|positive|
asinininity|negative|negative|
aspersion|negative|negative|
aspersions|negative|negative|
aspiration|positive|positive|
assassin|negative|negative|
asshole|negative|negative|
assult|negative|negative|
assuredly|positive|positive|
assuring|positive|positive|
astonishing|positive|positive|
astonishingly|positive|positive|
astonishment|positive|positive|
astounding|positive|positive|
astoundingly|positive|positive|
astronomical|negative|negative|
astronomically|neutral|neutral|
asunder|negative|negative|
atrocities|negative|negative|
atrocity|negative|negative|
attacks|negative|negative|
attenetive|positive|positive|
attentaive|positive|positive|
attentative|positive|positive|
attentiive|positive|positive|
attentitive|positive|positive|
attractively|positive|positive|
audaciously|negative|negative|
audaciousness|negative|negative|
audacity|negative|negative|
audibly|positive|positive|
audiciously|negative|negative|
authenic|positive|positive|
autocrat|negative|negative|
available|neutral|positive|
avarice|negative|negative|
averse|negative|negative|
aversion|negative|negative|
avidly|positive|positive|
awarded|positive|positive|
awards|neutral|positive|VH
aweful|negative|negative|
awesome|positive|positive|
awesomely|positive|positive|
awesomeness|positive|positive|
awful|negative|negative|
awfully|negative|negative|
awfulness|negative|negative|
awkwardness|negative|negative|
awsome|positive|positive|
back-logged|negative|negative|
back-wood|negative|negative|
back-woods|negative|negative|
backache|negative|negative|
backaches|negative|negative|
backaching|negative|negative|
backbiting|negative|negative|
backbone|positive|positive|
backwardness|negative|negative|
backwood|negative|negative|
backwoods|negative|negative|
bafflement|negative|negative|
baffling|negative|negative|
balistic|negative|negative|
ballistic|negative|negative|
banal|negative|negative|
bane|negative|negative|
banishment|negative|negative|
barbarically|negative|negative|
barbarous|negative|negative|
barbarously|negative|negative|
barely|negative|negative|
bash|negative|negative|
bashed|negative|negative|
bashing|negative|negative|
basically|neutral|neutral|
bastard|negative|negative|
bastards|negative|negative|
beautiful|positive|positive|
beautifullly|positive|positive|
beautifully|positive|positive|
beauty|positive|positive|
beckon|positive|positive|
beckoned|positive|positive|
beckoning|positive|positive|
beckons|positive|positive|
bedlam|negative|negative|
bedlamite|negative|negative|
beggar|negative|negative|
believeable|positive|positive|
belittling|negative|negative|
belligerence|negative|negative|
belligerent|negative|negative|
belligerently|negative|negative|
benefactor|positive|positive|
beneficial|positive|positive|
beneficially|positive|positive|
benevolence|positive|positive|
benifits|positive|positive|
bereavement|negative|negative|
bereft|negative|negative|
besides|neutral|neutral|
best|positive|positive|
beter|positive|positive|
betrayal|negative|negative|
betrayals|negative|negative|
betrayer|negative|negative|
betraying|negative|negative|
betrays|negative|negative|
better|positive|positive|
beutifully|positive|positive|
bewildering|negative|negative|
bewilderingly|negative|negative|
bewilderment|negative|negative|
bickering|negative|negative|
bigger|positive|positive|
bigotries|negative|negative|
bigotry|negative|negative|
bitches|negative|negative|
bitingly|negative|negative|
bitterly|negative|negative|
bitterness|negative|negative|
bizaare|negative|negative|
blah|negative|negative|
blasphemous|negative|negative|
blasphemy|negative|negative|
blast|negative|negative|
blasted|negative|negative|
bleakly|negative|negative|
bleakness|negative|negative|
bleeding|negative|negative|
bleeds|negative|negative|
blind|negative|negative|
blinding|negative|negative|
bliss|positive|positive|
blockage|negative|negative|
blockbuster|positive|positive|
bloodshed|negative|negative|
blotchy|negative|negative|
blundering|negative|negative|
blunders|negative|negative|
bluring|negative|negative|
blurred|negative|negative|
blurring|negative|negative|
blurry|negative|negative|
blurs|negative|negative|
bondage|negative|negative|
bonus|positive|positive|
bonuses|positive|positive|
boom|positive|positive|
bored|negative|negative|
boredom|negative|negative|
bores|negative|negative|
boring|negative|negative|
bothered|negative|negative|
bothering|negative|negative|
bothers|negative|negative|
braggart|negative|negative|
bragger|negative|negative|
brainiest|positive|positive|
brainless|negative|negative|
brand-new|positive|positive|
brashly|negative|negative|
brashness|negative|negative|
bravado|negative|negative|
bravo|positive|positive|
brazen|negative|negative|
brazenly|negative|negative|
brazenness|negative|negative|
break-up|negative|negative|
break-ups|negative|negative|
breaking|negative|negative|
breaks|negative|negative|
breakup|negative|negative|
breakups|negative|negative|
breathtakingly|positive|positive|
breeze|neutral|positive|
bribery|negative|negative|
brighten|positive|positive|
brighter|positive|positive|
brightest|positive|positive|
brilliance|positive|positive|
brilliances|positive|positive|
brilliant|positive|positive|
brilliantly|positive|positive|
broken|negative|negative|
bruise|negative|negative|
bruised|negative|negative|
bruises|negative|negative|
bruising|negative|negative|
brutalities|negative|negative|
brutality|negative|negative|
brutally|negative|negative|
brute|negative|negative|
bs|negative|negative|
bugging|negative|negative|
buggy|negative|negative|
bugs|negative|negative|
bulkier|negative|negative|
bulkiness|negative|negative|
bulkyness|negative|negative|
bull----|negative|negative|
bull****|negative|negative|
bull**|negative|negative|
bullshit|negative|negative|
bullshyt|negative|negative|
bullying|negative|negative|
bullyingly|negative|negative|
bum|negative|negative|
bump|negative|negative|
bumped|negative|negative|
bumping|negative|negative|
bumpping|negative|negative|
bumps|negative|negative|
bungler|negative|negative|
bungling|negative|negative|
bunk|negative|negative|
burdensome|negative|negative|
burdensomely|negative|negative|
burned|negative|negative|
burning|negative|negative|
burns|negative|negative|
burnt|negative|negative|
bussy|negative|negative|
bust|negative|negative|
busts|negative|negative|
busybody|negative|negative|
butchery|negative|negative|
buzzing|negative|negative|
calamities|negative|negative|
calamitously|negative|negative|
calamity|negative|negative|
calming|positive|positive|
calmness|positive|positive|
calumniation|negative|negative|
calumnies|negative|negative|
calumniously|negative|negative|
calumny|negative|negative|
cancer|negative|negative|
cannibal|negative|negative|
capability|positive|positive|
capriciously|negative|negative|
capriciousness|negative|negative|
carelessness|negative|negative|
caring|positive|positive|
carnage|negative|negative|
cartoonish|negative|negative|
cashback|positive|positive|
cashbacks|positive|positive|
castrated|negative|negative|
casualty|negative|negative|
cataclysm|negative|negative|
cataclysmically|negative|negative|
catastrophe|negative|negative|
catastrophes|negative|negative|
catastrophic|negative|negative|
catastrophically|negative|negative|
catastrophies|negative|negative|
caustically|negative|negative|
celebration|positive|positive|
celebratory|positive|positive|
certain|neutral|neutral|
certainly|neutral|neutral|
champ|positive|positive|
champion|positive|positive|
chaos|negative|negative|
charisma|positive|positive|
charitble|positive|positive|
charming|positive|positive|
chastisement|negative|negative|
chatterbox|negative|negative|
cheaper|positive|positive|
cheapest|positive|positive|
cheaply|negative|negative|
cheated|negative|negative|
cheater|negative|negative|
cheating|negative|negative|
cheats|negative|negative|
checkered|negative|negative|
cheeful|positive|positive|
cheesy|negative|negative|
cherub|positive|positive|
chewey|positive|positive|
chewy|positive|positive|
chintzy|negative|negative|
chit|negative|negative|
chivalry|positive|positive|
choleric|negative|negative|
chore|negative|negative|
chunky|negative|negative|
civility|positive|positive|
claim|neutral|neutral|
clamor|negative|negative|
classic|positive|positive|
classy|positive|positive|
cleaner|positive|positive|
cleanest|positive|positive|
cleanliness|positive|positive|
cleanly|positive|positive|
clear|positive|positive|
cleared|positive|positive|
clearly|positive|positive|
clears|positive|positive|
cleverly|positive|positive|
cliche|negative|negative|
cliched|negative|negative|
clique|negative|negative|
clogged|negative|negative|
clogs|negative|negative|
clouding|negative|negative|
cloudy|negative|negative|
clubby|negative|negative|
clueless|negative|negative|
clunky|negative|negative|
cocksucker|negative|negative|
coercion|negative|negative|
coincidental|negative|negative|
combust|negative|negative|
comforting|positive|positive|
comfortorable|positive|positive|
comfy|positive|positive|
commotions|negative|negative|
compactly|positive|positive|
compassion|positive|positive|
competitiveness|positive|positive|
competivite|positive|positive|
complained|negative|negative|
complains|negative|negative|
complaint|negative|negative|
complemented|positive|positive|
complements|positive|positive|
complication|negative|negative|
complimentary|positive|positive|
compulsion|negative|negative|
conceded|negative|negative|
conceit|negative|negative|
concen|negative|negative|
concens|negative|negative|
concerned|negative|negative|
concise|positive|positive|
condemn|negative|negative|
condemnation|negative|negative|
condemned|negative|negative|
condemns|negative|negative|
condescension|negative|negative|
condusive|positive|positive|
confession|negative|negative|
confined|negative|negative|
conflicted|negative|negative|
conflicting|negative|negative|
conflicts|negative|negative|
confound|negative|negative|
confounded|negative|negative|
confounding|negative|negative|
confused|negative|negative|
confuses|negative|negative|
confusing|negative|negative|
confusions|negative|negative|
congestion|negative|negative|
congratulation|positive|positive|
congratulatory|positive|positive|
cons|negative|negative|
conscious|positive|positive|
conscons|negative|negative|
consequently|neutral|neutral|
conservative|negative|negative|
considerably|neutral|neutral|
consistant|positive|positive|
consistently|positive|positive|
conspicuously|negative|negative|
conspiratorial|negative|negative|
consternation|negative|negative|
contaminated|negative|negative|
contaminates|negative|negative|
contaminating|negative|negative|
contamination|negative|negative|
contempt|negative|negative|
contemptuously|negative|negative|
contention|negative|negative|
contentment|positive|positive|
continuity|positive|positive|
contradiction|negative|negative|
contrariness|negative|negative|
contrasty|positive|positive|
contrived|negative|negative|
convenience|positive|positive|
convenient|positive|positive|
conveniently|positive|positive|
conversant|positive|positive|
convience|positive|positive|
convienent|positive|positive|
convienient|positive|positive|
convient|positive|positive|
convincingly|positive|positive|
coolest|positive|positive|
correct|positive|positive|
correctly|positive|positive|
corrosion|negative|negative|
corrosions|negative|negative|
corrupted|negative|negative|
corrupting|negative|negative|
corruption|negative|negative|
corrupts|negative|negative|
corruptted|negative|negative|
costlier|negative|negative|
could|neutral|neutral|
counter-attack|positive|positive|
counter-attacks|positive|positive|
counter-productive|negative|negative|
courageously|positive|positive|
courageousness|positive|positive|
courtious|positive|positive|
courtous|positive|positive|
covenant|positive|positive|
covetingly|both|both|
covetous|negative|negative|
covetously|both|both|
coward|negative|negative|
cowardly|negative|negative|
cozier|positive|positive|
crabby|negative|negative|
crack|negative|negative|
cracked|neutral|negative|
cracks|negative|negative|
craftily|negative|negative|
craftly|negative|negative|
cramping|negative|negative|
crap|negative|negative|
crappy|negative|negative|
craps|negative|negative|
crapy|negative|negative|
crash|negative|negative|
crashed|negative|negative|
crashes|negative|negative|
crashing|negative|negative|
crashin|negative
craven|negative|negative|
cravenly|negative|negative|
craze|negative|negative|
crazily|negative|negative|
craziness|negative|negative|
crazy|negative|negative|
creak|negative|negative|
creaking|negative|negative|
creaks|negative|negative|
creep|negative|negative|
creeping|negative|negative|
creeps|negative|negative|
creepy|negative|negative|
crept|negative|negative|
crime|negative|negative|
criminal|negative|negative|
cringed|negative|negative|
cringes|negative|negative|
crippled|negative|negative|
cripples|negative|negative|
crisper|positive|positive|
critic|negative|negative|
critical|negative|negative|
criticized|negative|negative|
criticizing|negative|negative|
cronyism|negative|negative|
crook|negative|negative|
crooks|negative|negative|
crowdedness|negative|negative|
crueler|negative|negative|
cruelest|negative|negative|
cruelly|negative|negative|
cruelness|negative|negative|
cruelties|negative|negative|
cruelty|negative|negative|
crumbling|negative|negative|
crummy|negative|negative|
crumpled|negative|negative|
crumples|negative|negative|
crunchy|positive|positive|
crushed|negative|negative|
culprit|negative|negative|
cunt|negative|negative|
cunts|negative|negative|
cuplrit|negative|negative|
curious|positive|positive|
curiously|positive|positive|
cursed|negative|negative|
curses|negative|negative|
curteous|positive|positive|
curtious|positive|positive|
cushy|positive|positive|
cussed|negative|negative|
cuteness|positive|positive|
damaged|negative|negative|
damages|negative|negative|
damnable|negative|negative|
damnably|negative|negative|
damnation|negative|negative|
damned|negative|negative|
damning|negative|negative|
damper|negative|negative|
danke|positive|positive|
danken|positive|positive|
daring|positive|positive|
daringly|positive|positive|
darkened|negative|negative|
darker|negative|negative|
darkness|negative|negative|
darling|positive|positive|
darn|negative|negative|
dastard|negative|negative|
dastardly|negative|negative|
daunting|negative|negative|
dauntingly|negative|negative|
daydreamer|positive|positive|
dazzling|positive|positive|
dead-cheap|positive|positive|
dead-on|positive|positive|
deadass|negative|negative|
dealbreaker|negative|negative|
dearth|negative|negative|
death|negative|negative|
debacle|negative|negative|
debasement|negative|negative|
debaser|negative|negative|
debatable|negative|negative|
debaucher|negative|negative|
debauchery|negative|negative|
debility|negative|negative|
debt|negative|negative|
debts|negative|negative|
decadence|negative|negative|
decayed|negative|negative|
deceit|negative|negative|
deceitful|negative|negative|
deceitfully|negative|negative|
deceitfulness|negative|negative|
deceiver|negative|negative|
deceivers|negative|negative|
decency|positive|positive|
deceptively|negative|negative|
declines|negative|negative|
decorated|positive|positive|
decrement|negative|negative|
decrepitude|negative|negative|
deeelicious|positive|positive|
deeply|neutral|neutral|
defamation|negative|negative|
defamations|negative|negative|
defamatory|negative|negative|
defeated|positive|positive|
defeating|positive|positive|
defeats|positive|positive|
defect|negative|negative|
defects|negative|negative|
deference|positive|positive|
defiantly|negative|negative|
deficiencies|negative|negative|
deficiency|negative|negative|
defiler|negative|negative|
definitely|neutral|positive|
definitively|positive|positive|
degenerately|negative|negative|
degeneration|negative|negative|
deginified|positive|positive|
degradation|negative|negative|
degradingly|negative|negative|
dehumanization|negative|negative|
dejection|negative|negative|
delayed|negative|negative|
delaying|negative|negative|
delays|negative|negative|
delcious|positive|positive|
delicacy|positive|positive|
delicous|positive|positive|
delightful|positive|positive|
delightfully|positive|positive|
delightfulness|positive|positive|
delinquency|negative|negative|
delirium|negative|negative|
delisious|positive|positive|
deliucous|positive|positive|
deluge|negative|negative|
delusional|negative|negative|
demise|negative|negative|
demolisher|negative|negative|
demon|negative|negative|
demonize|negative|negative|
demonized|negative|negative|
demonizes|negative|negative|
demonizing|negative|negative|
demoralizing|negative|negative|
demoralizingly|negative|negative|
denial|negative|negative|
denied|negative|negative|
denies|negative|negative|
dense|negative|negative|
dented|negative|negative|
dents|negative|negative|
denunciation|negative|negative|
denunciations|negative|negative|
denying|negative|negative|
dependably|positive|positive|
deplorable|negative|negative|
deplorably|negative|negative|
deploringly|negative|negative|
depravedly|negative|negative|
depressing|negative|negative|
depressingly|negative|negative|
depressions|negative|negative|
derision|negative|negative|
derisive|negative|negative|
derisively|negative|negative|
derisiveness|negative|negative|
desertion|negative|negative|
desiring|positive|positive|
desirous|positive|positive|
desititute|negative|negative|
desolately|negative|negative|
desolation|negative|negative|
despairingly|negative|negative|
desperately|negative|negative|
desperation|negative|negative|
despicably|negative|negative|
despised|negative|negative|
despite|negative|negative|
despoiler|negative|negative|
despondence|negative|negative|
despondency|negative|negative|
despondently|negative|negative|
despot|negative|negative|
destains|negative|negative|
destiny|positive|positive|
destitution|negative|negative|
destruction|negative|negative|
detachable|positive|positive|
deterioration|negative|negative|
deterrent|negative|negative|
detestable|negative|negative|
detestably|negative|negative|
detested|negative|negative|
detesting|negative|negative|
detests|negative|negative|
detracted|negative|negative|
detracting|negative|negative|
detraction|negative|negative|
detracts|negative|negative|
detriment|negative|negative|
devastate|negative|negative|
devastated|negative|negative|
devastates|negative|negative|
devastating|negative|negative|
devastatingly|negative|negative|
devastation|negative|negative|
deviation|negative|negative|
devil|negative|negative|
devilishly|negative|negative|
devilment|negative|negative|
devilry|negative|negative|
devious|negative|negative|
deviously|negative|negative|
deviousness|negative|negative|
diabetic|negative|negative|
diappointed|negative|negative|
diatribe|negative|negative|
diatribes|negative|negative|
dick|negative|negative|
dictator|negative|negative|
die|negative|negative|
die-hard|negative|negative|
died|negative|negative|
dies|negative|negative|
dignity|positive|positive|
diligence|positive|positive|
dim|negative|negative|
dimmer|negative|negative|
din|negative|negative|
ding|negative|negative|
dings|negative|negative|
dingy|negative|negative|
direly|negative|negative|
direness|negative|negative|
dirt|negative|negative|
dirt-cheap|positive|positive|
dirtbag|negative|negative|
dirtbags|negative|negative|
dirts|negative|negative|
dirty|negative|negative|
disaccord|negative|negative|
disadvantage|negative|negative|
disadvantages|negative|negative|
disagreeable|negative|negative|
disagreeably|negative|negative|
disagreed|negative|negative|
disagreeing|negative|negative|
disagrees|negative|negative|
disapointed|negative|negative|
disapointing|negative|negative|
disapointment|negative|negative|
disappointing|negative|negative|
disappointingly|negative|negative|
disappointments|negative|negative|
disappoints|negative|negative|
disapprobation|negative|negative|
disapprove|negative|negative|
disapproving|negative|negative|
disaster|negative|negative|
disasterous|negative|negative|
disastrously|negative|negative|
disavowal|negative|negative|
disbelief|negative|negative|
disbeliever|negative|negative|
discernable|positive|positive|
discerning|positive|positive|
discomfititure|negative|negative|
discomfort|negative|negative|
disconcerting|negative|negative|
disconcertingly|negative|negative|
disconsolation|negative|negative|
discontinued|negative|negative|
discontinuous|negative|negative|
discordance|negative|negative|
discountenance|negative|negative|
discouragement|negative|negative|
discouraging|negative|negative|
discouragingly|negative|negative|
discoutinous|negative|negative|
discusted|negative|negative|
disdained|negative|negative|
disdainful|negative|negative|
disdainfully|negative|negative|
disfunctional|negative|negative|
disgraceful|negative|negative|
disgracefully|negative|negative|
disgustedly|negative|negative|
disgustfully|negative|negative|
disgusting|negative|negative|
disgustingly|negative|negative|
disheartening|negative|negative|
dishearteningly|negative|negative|
dishonestly|negative|negative|
dishonesty|negative|negative|
disillusionment|negative|negative|
disillusions|negative|negative|
disinclination|negative|negative|
disinclined|negative|negative|
disintegrated|negative|negative|
disintegrates|negative|negative|
disintegration|negative|negative|
disinterest|negative|negative|
disliked|negative|negative|
dislikes|negative|negative|
disliking|negative|negative|
disloyalty|negative|negative|
dismally|negative|negative|
dismalness|negative|negative|
dismaying|negative|negative|
dismayingly|negative|negative|
dismissively|negative|negative|
disobedience|negative|negative|
disoobedient|negative|negative|
disopointed|negative|negative|
disparagingly|negative|negative|
dispicatble|negative|negative|
dispiriting|negative|negative|
displeased|negative|negative|
disputable|negative|negative|
disquieting|negative|negative|
disquietingly|negative|negative|
disquietude|negative|negative|
disrepectful|negative|negative|
disrepute|negative|negative|
disrespectablity|negative|negative|
disrespectful|negative|negative|
disrespectfully|negative|negative|
disrespectfulness|negative|negative|
diss|negative|negative|
dissapointed|negative|negative|
dissappointed|negative|negative|
dissappointing|negative|negative|
dissatified|negative|negative|
dissatisfies|negative|negative|
dissatisfying|negative|negative|
dissed|negative|negative|
dissembler|negative|negative|
dissension|negative|negative|
dissenter|negative|negative|
dissention|negative|negative|
disses|negative|negative|
dissidence|negative|negative|
dissing|negative|negative|
dissipointed|negative|negative|
dissolution|negative|negative|
dissonance|negative|negative|
distains|negative|negative|
distaste|negative|negative|
distinction|positive|positive|
distorted|negative|negative|
distorts|negative|negative|
distraughtly|negative|negative|
distraughtness|negative|negative|
distressingly|negative|negative|
distrusting|negative|negative|
disturbance|negative|negative|
disturbing|negative|negative|
disturbingly|negative|negative|
disunity|negative|negative|
disvalue|negative|negative|
ditch|negative|negative|
divine|positive|positive|
divinely|positive|positive|
divisiveness|negative|negative|
doldrums|negative|negative|
dominated|positive|positive|
dominates|positive|positive|
donside|negative|negative|
doomed|negative|negative|
dope|negative|negative|
douchbag|negative|negative|
douchebag|negative|negative|
douchebags|negative|negative|
downer|negative|negative|
downfall|negative|negative|
downfallen|negative|negative|
downhill|negative|negative|
downright|neutral|neutral|
downside|negative|negative|
downsides|negative|negative|
downturn|negative|negative|
downturns|negative|negative|
drafty|negative|negative|
dragged|negative|negative|
dragging|negative|negative|
drags|negative|negative|
drained|negative|negative|
draining|negative|negative|
drains|negative|negative|
dramatically|neutral|neutral|
drawback|negative|negative|
drawbacks|negative|negative|
dread|negative|negative|
dreadful|negative|negative|
dreadfully|negative|negative|
dreadfulness|negative|negative|
dripped|negative|negative|
dripping|negative|negative|
drippy|negative|negative|
drips|negative|negative|
droops|negative|negative|
drop-out|negative|negative|
drop-outs|negative|negative|
dropout|negative|negative|
dropouts|negative|negative|
drowning|negative|negative|
drunkard|negative|negative|
dud|negative|negative|
dullard|negative|negative|
dumbass|negative|negative|
dumbfounding|positive|positive|
dummy-proof|positive|positive|
dumped|negative|negative|
dumping|negative|negative|
dumps|negative|negative|
dunce|negative|negative|
dungeon|negative|negative|
duped|negative|negative|
dust|negative|negative|
dying|negative|negative|
dysfunctional|negative|negative|
eagerly|positive|positive|
eagerness|positive|positive|
earnestly|positive|positive|
earnestness|positive|positive|
earthy|positive|positive|
eased|positive|positive|
eases|positive|positive|
easier|positive|positive|
easiest|positive|positive|
easily|positive|positive|
easiness|positive|positive|
easing|positive|positive|
easy-to-use|positive|positive|
ebullience|positive|positive|
ebulliently|positive|positive|
eccentricity|negative|negative|
ecconomical|positive|positive|
ecenomical|positive|positive|
ecstasies|positive|positive|
ecstasy|positive|positive|
ecstatically|positive|positive|
effeciant|positive|positive|
effecient|positive|positive|
effectively|positive|positive|
effectiveness|positive|positive|
effeiciant|positive|positive|
efficent|positive|positive|
efficiently|positive|positive|
effiecient|positive|positive|
effigy|negative|negative|
effrontery|negative|negative|
effusion|positive|positive|
effusively|positive|positive|
effusiveness|positive|positive|
egomania|negative|negative|
egotism|negative|negative|
egregiously|negative|negative|
ejoyable|positive|positive|
elan|positive|positive|
elation|positive|positive|
elegance|positive|positive|
elimination|negative|negative|
elite|positive|positive|
eloquence|positive|positive|
eloquently|positive|positive|
else|neutral|neutral|
emaciated|negative|negative|
embarrased|negative|negative|
embarrassed|negative|negative|
embarrassing|negative|negative|
embarrassingly|negative|negative|
embarrassment|negative|negative|
embroilment|negative|negative|
emergency|negative|negative|
eminence|positive|positive|
empathy|positive|positive|
emphatic|negative|negative|
emphatically|negative|negative|
empowerment|positive|positive|
enchanted|positive|positive|
enchanting|positive|positive|
enchantingly|positive|positive|
encouragingly|positive|positive|
encroachment|negative|negative|
endorsed|positive|positive|
endorses|positive|positive|
endorsing|positive|positive|
enemy|negative|negative|
energy-efficient|positive|positive|
energy-saving|positive|positive|
engrossing|positive|positive|
enhancement|positive|positive|
enhances|positive|positive|
enjoyed|positive|positive|
enjoying|positive|positive|
enjoyment|positive|positive|
enjoys|positive|positive|
enlightenment|positive|positive|
enmity|negative|negative|
enormous|negative|negative|
enormously|negative|negative|
enough|neutral|neutral|
enough|positive|positive|
enraging|negative|negative|
enraptured|positive|positive|
enrichment|positive|positive|
entanglement|negative|negative|
entertains|positive|positive|
enthralled|positive|positive|
enthusiasm|positive|positive|
enthusiast|positive|positive|
enticed|positive|positive|
enticing|positive|positive|
enticingly|positive|positive|
entire|neutral|neutral|
entirely|neutral|neutral|
entranced|positive|positive|
entrapment|negative|negative|
entreatingly|positive|positive|
enviably|positive|positive|
enviously|negative|negative|
enviousness|positive|positive|
ergonomical|positive|positive|
erodes|negative|negative|
erosion|negative|negative|
err-free|positive|positive|
erroneous|negative|negative|
erroneously|negative|negative|
errors|negative|negative|
eruptions|negative|negative|
escapade|negative|negative|
especially|neutral|positive|
euphoria|positive|positive|
euphorically|positive|positive|
evaluative|positive|positive|
evasion|negative|negative|
evident|positive|positive|
evidently|positive|positive|
evildoer|negative|negative|
exactly|neutral|neutral|
exagerate|negative|negative|
exagerated|negative|negative|
exagerates|negative|negative|
exaltation|positive|positive|
exaltingly|positive|positive|
examplar|positive|positive|
examplary|positive|positive|
exasperated|negative|negative|
exasperatingly|negative|negative|
exasperation|negative|negative|
excallent|positive|positive|
exceeded|positive|positive|
exceedingly|positive|positive|
exceeds|positive|positive|
excelant|positive|positive|
exceled|positive|positive|
excelent|positive|positive|
excellant|positive|positive|
excelled|positive|positive|
excellence|positive|positive|
excellency|positive|positive|
excellent|positive|positive|
excellently|positive|positive|
excels|positive|positive|
exceptional|positive|positive|
